Store Name,Address,Maps Coordinates,Notes,Latitude,Longitude
Petra Ave Market,"150 Dundas St W Unit: 102, Toronto, ON M5G 1C6","43.655562481204285, -79.3853714460048",Not a full butcher,43.655562481204285,-79.3853714460048
Kabul Farms Supermarket,"230 Parliament St, Toronto, ON M5A 3A4","43.65725694241303, -79.36527205490813",Afghan,43.65725694241303,-79.36527205490813
Marhaba Super Market Inc,"324 Parliament St, Toronto, ON M5A 2Z7","43.65977791965056, -79.3662759976691",Desi,43.65977791965056,-79.3662759976691
Surma-Supermarket,"330 Parliament St, Toronto, ON M5A 2Z7","43.65993704328493, -79.36634051773335",Desi,43.65993704328493,-79.36634051773335
Awaze Halal,"8 Howard St, Toronto, ON M4X 1J5","43.67141402352748, -79.37537447012879",,43.67141402352748,-79.37537447012879
Halal Meat Bengali Shop,"1222 Bloor St W, Toronto, ON M6H 1N3","43.65922259760919, -79.4391477950445",Bengali,43.65922259760919,-79.4391477950445
Baraka Halal Variety,"2192 Dundas St W, Toronto, ON M6R 1X1","43.65360289828073, -79.45101814892202",Middle Eastern & African,43.65360289828073,-79.45101814892202
Solmaz Foods Retail,"16 Jutland Rd, Etobicoke, ON M8Z 2G9","43.626870278651865, -79.52725269628816",Turkish,43.626870278651865,-79.52725269628816
Habesha Meat and Grocery,"816 Jane St, York, ON M6N 4C1","43.67385855419306, -79.49483170073839",Eritrean & Ethiopian,43.67385855419306,-79.49483170073839
Dubai Meat Shop,"1322 Gerrard St E, Toronto, ON M4L 1Z1","43.67161767703116, -79.32586784675834",,43.67161767703116,-79.32586784675834
New Almadina Halal and Grocery Toronto,"1067 Danforth Ave, Toronto, ON M4J 1M1","43.68052663991501, -79.33564784382172",,43.68052663991501,-79.33564784382172
Mumtaz super market,"1069 Danforth Ave, Toronto, ON M4J 1M1","43.680614750157176, -79.33556811556421",Desi,43.680614750157176,-79.33556811556421
Saffron halal meat & grocery,"2640 Danforth Ave, Toronto, ON M4C 1L7","43.68876616605062, -79.29991702005944",Desi,43.68876616605062,-79.29991702005944
Q Farm,"5070 Dundas St W, Etobicoke, ON M9A 1B9","43.645660754832235, -79.53212977375871",,43.645660754832235,-79.53212977375871
Al-Haram Halal Meat & Grocers,"235 Dixon Rd Unit 6, Etobicoke, ON M9P 2M5","43.69694875689958, -79.54406437244191",Afghan & Middle Eastern,43.69694875689958,-79.54406437244191
Dixon Halal Meat,"1735 Kipling Ave, Etobicoke, ON M9R 2Y8","43.693570088534706, -79.5568818537646",African & Desi,43.693570088534706,-79.5568818537646
Al-Fateh Halal Meat-Grocery,"10 Rexdale Blvd, Etobicoke, ON M9W 1N6","43.71459200481712, -79.55615934554687",Pakistani,43.71459200481712,-79.55615934554687
Food World Supermarket,"6628 Finch Ave W Unit 1, Etobicoke, ON M9W 0B3","43.73447079212024, -79.60454537484857",Indian,43.73447079212024,-79.60454537484857
Al Rehman Halal Meat & Groceries,"101 Westmore Dr, Etobicoke, ON M9V 3Y6","43.73746216088685, -79.60050825908199",Indian/Pakistani,43.73746216088685,-79.60050825908199
Al-Meezan Grocery & Halal Meats,"1146 Albion Rd, Etobicoke, ON M9V 1A8","43.73796113748957, -79.56715396448149",Pakistani,43.73796113748957,-79.56715396448149
Al Zabiha Halal Meat,"2657 Islington Ave, Etobicoke, ON M9V 2X6","43.73877452197859, -79.5655350647264",,43.73877452197859,-79.5655350647264
Anatolian Fine Foods,"Unit:15, 2437 Finch Ave W, North York, ON M9M 2E7","43.74971936916115, -79.5499819977153",Turkish,43.74971936916115,-79.5499819977153
Finch Super Market & Meat,"2450 Finch Ave W, North York, ON M9M 2E9","43.75016754272148, -79.55416228582348",Pakistani & West Indian,43.75016754272148,-79.55416228582348
New Kabul Halal Meat,"5010 Steeles Ave W Unit 15, Etobicoke, ON M9V 5C5","43.760009015534735, -79.59223836473878",Afghan,43.760009015534735,-79.59223836473878
Seif Halal Food Market,"2371 Weston Rd unit E, York, ON M9N 1Z8","43.70660004488805, -79.53193950276794",Somali,43.70660004488805,-79.53193950276794
Kabul Farms Supermarket,"40 Beverly Hills Dr Unit: 44-46, North York, ON M3L 1A1","43.719192417161, -79.51181015136679",Afghan,43.719192417161,-79.51181015136679
"Istanbul Fine Foods - Grocery, Meat, Bakery","3715 Keele St, North York, ON M3J 1N1","43.75626088150209, -79.48849930758801",Turkish,43.75626088150209,-79.48849930758801
Al-Mina Halal Meat and Grocery Shop,"25 Overlea Blvd, East York, ON M4H 1P9","43.70453165878212, -79.34984970222263",Afghan,43.70453165878212,-79.34984970222263
Iqbal Foods,"100 Thorncliffe Park Dr, East York, ON M4H 1L9","43.70885785643023, -79.3449061341259",Pakistani,43.70885785643023,-79.3449061341259
Marhaba Supermarket,"3018 Danforth Ave, East York, ON M4C 1M7","43.69108701885533, -79.29075936002967",Desi,43.69108701885533,-79.29075936002967
Azad Supermarket,"4 Massey Square, Toronto, ON M4C 5L6","43.69617973677338, -79.29240198406492",Desi,43.69617973677338,-79.29240198406492
Al Walaa Halal Meat & Grocery,"1728 Lawrence Ave E, Scarborough, ON M1R 2Y1","43.74271527070894, -79.30878786650608",Arab,43.74271527070894,-79.30878786650608
Al-Mumtaz Super Market & Halal Meat,"12 Tower Dr #10, Scarborough, ON M1R 3N9","43.745162970505476, -79.2991067373651",Afghan,43.745162970505476,-79.2991067373651
Al Barakat Supermarket & Restaurant,"2008 Lawrence Ave E, Toronto, ON M1R 2Z1","43.74546061013733, -79.29692050475205",Irani,43.74546061013733,-79.29692050475205
Alzahraa Halal Meat,"2032 Lawrence Ave E, Scarborough, ON M1R 2Z3","43.745731514608785, -79.29586031410746",Arab,43.745731514608785,-79.29586031410746
Nawzar Meat Market,"80 Ellesmere Rd, Scarborough, ON M1R 4C2","43.75924191354087, -79.31082152999221",Kurdish,43.75924191354087,-79.31082152999221
Super Bazaar,"1505 Birchmount Rd, Scarborough, ON M1P 2G7","43.75846158579109, -79.28885954107547",East & West Indian,43.75846158579109,-79.28885954107547
Iqbal Foods Parkway,"107 Parkway Forest Dr, North York, ON M2J 1L8","43.774066997578096, -79.34025621059227",Pakistani,43.774066997578096,-79.34025621059227
Apna Bazar,"56 Forest Manor Rd, North York, ON M2J 1M1","43.773383425664115, -79.34496847599837",Desi,43.773383425664115,-79.34496847599837
Ali's Market,"3018 Don Mills Rd., North York, ON M2J 3C1","43.785952562474854, -79.35192304921796",Irani,43.785952562474854,-79.35192304921796
Ava Meats,"195 Sheppard Ave E, North York, ON M2N 3A8","43.76395593796502, -79.39900316236925",Irani,43.76395593796502,-79.39900316236925
Heja Butcher Shop,"921 Sheppard Ave W, North York, ON M3H 2T7","43.75120761600296, -79.45768249884516",Turkish,43.75120761600296,-79.45768249884516
Zamani Meats - North York,"6120 Yonge St, North York, ON M2M 3W7","43.79167289044433, -79.41888967086585",Irani,43.79167289044433,-79.41888967086585
Khorak Supermarket (Super Khorak),"6125 Yonge St, North York, ON M2M 3W8","43.792306403496724, -79.41806471540833",Irani,43.792306403496724,-79.41806471540833
Caspian supermarket,"2052 Sheppard Ave E, North York, ON M2J 5B3","43.77583948774199, -79.33020635609505",Irani,43.77583948774199,-79.33020635609505
Baraka Supermarket,"60 Danforth Rd, Scarborough, ON M1L 3W4","43.695912107619364, -79.27598981758409",Pakistani,43.695912107619364,-79.27598981758409
Red Rose Halal Meat,"462 Birchmount Rd, Scarborough, ON M1K 1N8","43.70662970266446, -79.26886490060792",Desi,43.70662970266446,-79.26886490060792
Al Baaqi Supermarket,"678 Kennedy Rd, Scarborough, ON M1K 2B5","43.72677461130956, -79.26595791992288",Desi,43.72677461130956,-79.26595791992288
Shorebazaar Supermarket,"2978 Eglinton Ave E, Scarborough, ON M1J 2E7","43.7405227114684, -79.23320455477247",Irani,43.7405227114684,-79.23320455477247
Zamzam Supermarket and Halal Meat,"283 Morningside Ave, Scarborough, ON M1E 3G1","43.7718099999467, -79.18680010892477",Indian,43.7718099999467,-79.18680010892477
Atiya's Fresh Farm,"1225 Kennedy Rd unit D & E, Scarborough, ON M1P 4Y1","43.75536468095502, -79.27586914721084",Desi,43.75536468095502,-79.27586914721084
Al Nour Halal Meat and Grocery,"5650 Sheppard Ave E, Scarborough, ON M1B 5P6","43.794968146166454, -79.23548174755747",Desi,43.794968146166454,-79.23548174755747
Al Tawakkul Halal Foods,"2820 Markham Rd, Scarborough, ON M1V 5M9","43.823040605953025, -79.24856828168329",Indian,43.823040605953025,-79.24856828168329
Bombay Bazaar,"7657 Kennedy Rd, Markham, ON L3R 0L7","43.84085421956299, -79.30374408098184",Indian,43.84085421956299,-79.30374408098184
The Meathead Store Scarborough,"1210 Markham Rd Unit 9, Scarborough, ON M1H 3B3","43.77750630738485, -79.23403450074015",,43.77750630738485,-79.23403450074015
Eraa Supermarket,"5930 Finch Ave E, Scarborough, ON M1B 5P8","43.817977636197455, -79.22358210130263",Desi,43.817977636197455,-79.22358210130263
Spicetown Halal Meat & Vegetable Supermarket,"280 Elson St Unit 1-3, Markham, ON L3S 3L1","43.840891661419356, -79.25295081999727",Desi,43.840891661419356,-79.25295081999727
Al-Habib Super Market,"2860 Denison St, Markham, ON L3S 4T6","43.84177919738466, -79.26599858455509",Desi,43.84177919738466,-79.26599858455509
Ghadir Meat & Restaurant,"1848 Lawrence Ave E, Scarborough, ON M1R 2Y4","43.74374688559161, -79.30424497731526",Arab,43.74374688559161,-79.30424497731526
Arz Fine Foods,"1909 Lawrence Ave E, Scarborough, ON M1R 2Y6","43.7437686769214, -79.3006853657845",Arab,43.7437686769214,-79.3006853657845
Adonis,"20 Ashtonbee Rd A, Scarborough, ON M1L 3K9","43.729300474208046, -79.29074959764363",Arab,43.729300474208046,-79.29074959764363
Alborz Supermarket,"879 York Mills Rd Unit #1, North York, ON M3B 1Y5","43.755021329414824, -79.34898488273029",Irani,43.755021329414824,-79.34898488273029
Amin Bakery,"26 A Rexdale Blvd, Rexdale, ON M9W 5Z3","43.714180410143044, -79.55823449575249",Arab,43.714180410143044,-79.55823449575249
Baharak market,"1252 Lawrence Ave E, North York, ON M3A 1C3","43.7416274427011, -79.31808097675012",Afghan,43.7416274427011,-79.31808097675012
Al-Amir Meat Market,"1829 Lawrence Ave E, Toronto, ON M1R 2Y3","43.74303798072011, -79.30334894992437",Arab,43.74303798072011,-79.30334894992437
Savours Fresh Market,"3011 Bathurst St, North York, ON M6B 3B5","43.717886286989454, -79.42909254356407",Kosher,43.717886286989454,-79.42909254356407
Metro,"3090 Bathurst St, Toronto, ON M6B 4K2","43.71966809216192, -79.43052568582057",Kosher,43.71966809216192,-79.43052568582057
Nortown Foods,"892 Eglinton Ave W, Toronto, ON M6C 2B6","43.70086435898095, -79.42728710502658",Kosher,43.70086435898095,-79.42728710502658
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
